Protocol,Run,Timestamp,AverageRTT,MinRTT,MaxRTT,PacketLoss,Jitter,ResponseTime,TTFB,DataSize,ThroughputMbps,StatusCode
HTTP/1.1,1,1786709431210,244.2,231.0,267.0,0.0,19.5,2368,2366,2859,0.00965543333210769,200
HTTP/1.1,2,1786709440455,239.0,236.0,241.0,0.0,2.0,2134,2133,2859,0.010716214383884672,200
HTTP/1.1,3,1786709448623,241.2,239.0,243.0,0.0,1.5,878,876,2859,0.02604102622957091,200
HTTP/1.1,4,1786709460517,238.5,232.0,245.0,20.0,8.333333333333334,733,732,2859,0.03116670329944359,200
HTTP/1.1,5,1786709471736,240.4,239.0,245.0,0.0,3.0,4187,2842,2859,0.0054620785429795645,200
HTTP/1.1,6,1786709479176,239.8,230.0,251.0,0.0,8.75,1098,1097,2859,0.0208296867113848,200
HTTP/1.1,7,1786709486792,242.2,234.0,257.0,0.0,13.75,1262,947,2859,0.018110670353730565,200
HTTP/1.1,8,1786709493909,236.4,233.0,239.0,0.0,2.0,757,756,2859,0.03018330896797418,200
HTTP/1.1,9,1786709504530,239.75,236.0,246.0,20.0,4.666666666666667,749,748,2859,0.030521748146736586,200
HTTP/1.1,10,1786709512419,238.6,232.0,243.0,0.0,3.75,1526,1525,2859,0.014981070285860593,200
HTTP/1.1,11,1786709519792,237.2,233.0,242.0,0.0,3.75,989,708,2859,0.023122032409665153,200
HTTP/1.1,12,1786709533260,240.75,232.0,253.0,20.0,12.666666666666666,3364,3363,2859,0.0067979710588687,200
HTTP/1.1,13,1786709540429,239.8,231.0,250.0,0.0,7.25,773,772,2859,0.02958708475628687,200
HTTP/1.1,14,1786709547513,236.8,232.0,243.0,0.0,6.75,710,703,2859,0.032180227282000484,200
HTTP/1.1,15,1786709554647,237.8,235.0,241.0,0.0,3.0,806,805,2859,0.02834364061869736,200
HTTP/1.1,16,1786709561806,239.0,237.0,243.0,0.0,3.0,822,821,2859,0.027809644008105063,200
HTTP/1.1,17,1786709568831,237.0,233.0,240.0,0.0,3.75,699,699,2859,0.03269243935882682,200
HTTP/1.1,18,1786709578478,238.0,233.0,244.0,0.0,3.75,3332,718,2859,0.006863899337639115,200
HTTP/1.1,19,1786709589541,245.25,240.0,260.0,20.0,7.0,1147,1145,2859,0.019940701000382914,200
HTTP/1.1,20,1786709596796,242.6,239.0,252.0,0.0,7.0,843,842,2859,0.027116663540678432,200
HTTP/1.1,21,1786709607515,233.75,229.0,239.0,20.0,4.333333333333333,623,622,2859,0.03667908653807604,200
HTTP/1.1,22,1786709614582,238.4,235.0,240.0,0.0,2.25,732,731,2859,0.03122669636788958,200
HTTP/1.1,23,1786709622705,241.2,233.0,250.0,0.0,7.5,1755,1755,2859,0.013028317736700044,200
HTTP/1.1,24,1786709633518,240.25,239.0,241.0,20.0,1.3333333333333333,665,665,2859,0.034361194565306556,200
HTTP/1.1,25,1786709641156,238.8,235.0,245.0,0.0,5.0,1315,1314,2859,0.017392628162841293,200
HTTP/1.1,26,1786709648567,244.2,234.0,253.0,0.0,7.25,1104,1103,2859,0.020710684719395665,200
HTTP/1.1,27,1786709656085,238.8,235.0,243.0,0.0,2.0,1161,833,2859,0.019683387649397144,200
HTTP/1.1,28,1786709667027,235.0,229.0,240.0,20.0,7.0,678,677,2859,0.03370069328656022,200
HTTP/1.1,29,1786709674019,239.2,239.0,240.0,0.0,0.5,670,669,2859,0.03411561183020592,200
HTTP/1.1,30,1786709681017,236.8,228.0,240.0,0.0,6.25,693,692,2859,0.03298638403062115,200
HTTP/1.1,31,1786709689267,235.2,228.0,240.0,0.0,5.5,1934,671,2859,0.011824754776703061,200
HTTP/1.1,32,1786709696234,233.8,231.0,239.0,0.0,2.5,663,663,2859,0.03447313320266742,200
HTTP/1.1,33,1786709705098,237.4,229.0,243.0,0.0,6.0,2543,933,2859,0.008992467746716876,200
HTTP/1.1,34,1786709712346,238.2,229.0,244.0,0.0,6.75,915,658,2859,0.024989915314867252,200
HTTP/1.1,35,1786709719424,251.6,233.0,294.0,0.0,17.25,777,776,2859,0.029412615712833493,200
