Round1: 
| Sample | Protocol | Avg RTT | Min RTT | Max RTT | Packet Loss | Jitter | Data Size | Throughput |
| -----: | -------- | ------: | ------: | ------: | ----------: | -----: | --------: | ---------: |
|      1 | H1.1     |   190.0 |     190 |     190 |           0 |   0.00 |      1928 |     0.0241 |
|      1 | H2       |   191.0 |     190 |     194 |           0 |   1.25 |      1928 |     0.0237 |
|      1 | H3       |   191.6 |     190 |     194 |           0 |   2.50 |     18319 |     0.2251 |
|      2 | H1.1     |   192.8 |     190 |     202 |           0 |   5.75 |      1928 |     0.0251 |
|      2 | H2       |   190.0 |     189 |     191 |           0 |   0.50 |      1928 |     0.0241 |
|      2 | H3       |   195.8 |     190 |     207 |           0 |   8.25 |     18321 |     0.2181 |
|      3 | H1.1     |   190.2 |     190 |     191 |           0 |   0.25 |      1928 |     0.0255 |
|      3 | H2       |   191.0 |     190 |     192 |           0 |   0.75 |      1928 |     0.0247 |
|      3 | H3       |   193.0 |     190 |     195 |          20 |   3.67 |      5212 |     0.0077 |
|      4 | H1.1     |   190.2 |     190 |     191 |           0 |   0.25 |      1928 |     0.0233 |
|      4 | H2       |   192.0 |     190 |     196 |           0 |   3.25 |      1928 |     0.0243 |
|      4 | H3       |   194.8 |     190 |     201 |          20 |   6.33 |      1928 |     0.0159 |
|      5 | H1.1     |   190.6 |     190 |     191 |           0 |   0.50 |      1928 |     0.0246 |
|      5 | H2       |   191.2 |     190 |     192 |           0 |   0.75 |      1928 |     0.0264 |
|      5 | H3       |   191.0 |     190 |     194 |           0 |   1.75 |     17418 |     0.2140 |
|      6 | H1.1     |   190.8 |     190 |     192 |           0 |   0.75 |      1928 |     0.0225 |
|      6 | H2       |   197.0 |     190 |     205 |           0 |   9.50 |      1928 |     0.0251 |
|      6 | H3       |   190.6 |     190 |     193 |           0 |   1.50 |     19301 |     0.2357 |
|      7 | H1.1     |   194.0 |     190 |     201 |           0 |   5.75 |      1928 |     0.0240 |
|      7 | H2       |   192.2 |     190 |     197 |           0 |   3.50 |      1928 |     0.0234 |
|      7 | H3       |   207.4 |     190 |     255 |           0 |  20.00 |      5212 |     0.1730 |
|      8 | H1.1     |   192.2 |     190 |     199 |           0 |   4.75 |      1928 |     0.0236 |
